rt,coherence,decision,animal
342.0,256.0,1.0,0.0
562.0,32.0,1.0,0.0
298.0,512.0,1.0,0.0
389.0,64.0,1.0,0.0
643.0,128.0,1.0,0.0
318.0,256.0,1.0,0.0
444.0,128.0,1.0,0.0
1006.0,0.0,0.0,0.0
949.0,64.0,1.0,0.0
883.0,0.0,1.0,0.0
350.0,256.0,1.0,0.0
255.0,512.0,1.0,0.0
659.0,64.0,0.0,0.0
855.0,32.0,1.0,0.0
331.0,512.0,1.0,0.0
551.0,256.0,1.0,0.0
582.0,128.0,1.0,0.0
797.0,64.0,0.0,0.0
355.0,128.0,1.0,0.0
615.0,0.0,0.0,0.0
557.0,32.0,0.0,0.0
416.0,512.0,1.0,0.0
411.0,128.0,1.0,0.0
432.0,64.0,1.0,0.0
289.0,256.0,1.0,0.0
295.0,512.0,1.0,0.0
567.0,0.0,0.0,0.0
717.0,32.0,1.0,0.0
298.0,128.0,1.0,0.0
376.0,256.0,1.0,0.0
661.0,32.0,1.0,0.0
610.0,0.0,1.0,0.0
460.0,64.0,1.0,0.0
311.0,128.0,1.0,0.0
414.0,256.0,1.0,0.0
257.0,32.0,1.0,0.0
561.0,256.0,1.0,0.0
362.0,64.0,1.0,0.0
390.0,512.0,1.0,0.0
421.0,32.0,1.0,0.0
660.0,64.0,1.0,0.0
284.0,512.0,1.0,0.0
604.0,128.0,1.0,0.0
627.0,0.0,0.0,0.0
509.0,0.0,1.0,0.0
306.0,512.0,1.0,0.0
552.0,256.0,1.0,0.0
265.0,512.0,1.0,0.0
452.0,64.0,0.0,0.0
508.0,64.0,1.0,0.0
624.0,32.0,1.0,0.0
475.0,256.0,1.0,0.0
448.0,128.0,1.0,0.0
609.0,128.0,1.0,0.0
705.0,32.0,0.0,0.0
579.0,0.0,0.0,0.0
383.0,0.0,0.0,0.0
546.0,256.0,1.0,0.0
627.0,0.0,0.0,0.0
577.0,32.0,1.0,0.0
617.0,128.0,1.0,0.0
544.0,256.0,1.0,0.0
898.0,0.0,1.0,0.0
512.0,32.0,1.0,0.0
288.0,512.0,1.0,0.0
305.0,512.0,1.0,0.0
632.0,64.0,1.0,0.0
1011.0,64.0,0.0,0.0
864.0,128.0,1.0,0.0
668.0,32.0,1.0,0.0
426.0,512.0,1.0,0.0
821.0,0.0,1.0,0.0
569.0,256.0,1.0,0.0
522.0,128.0,1.0,0.0
817.0,64.0,1.0,0.0
499.0,128.0,1.0,0.0
677.0,0.0,0.0,0.0
281.0,512.0,1.0,0.0
838.0,64.0,1.0,0.0
615.0,32.0,1.0,0.0
634.0,256.0,1.0,0.0
650.0,64.0,1.0,0.0
724.0,32.0,0.0,0.0
628.0,256.0,1.0,0.0
997.0,0.0,0.0,0.0
468.0,512.0,1.0,0.0
585.0,64.0,1.0,0.0
381.0,256.0,1.0,0.0
807.0,128.0,1.0,0.0
835.0,32.0,1.0,0.0
482.0,128.0,1.0,0.0
321.0,512.0,1.0,0.0
985.0,0.0,1.0,0.0
356.0,256.0,1.0,0.0
303.0,512.0,1.0,0.0
728.0,0.0,0.0,0.0
615.0,64.0,1.0,0.0
795.0,32.0,1.0,0.0
779.0,128.0,0.0,0.0
373.0,512.0,1.0,0.0
986.0,0.0,1.0,0.0
662.0,64.0,1.0,0.0
856.0,32.0,1.0,0.0
651.0,256.0,1.0,0.0
548.0,128.0,1.0,0.0
380.0,512.0,1.0,0.0
713.0,32.0,1.0,0.0
996.0,0.0,0.0,0.0
884.0,128.0,1.0,0.0
395.0,128.0,1.0,0.0
533.0,256.0,1.0,0.0
500.0,256.0,1.0,0.0
931.0,0.0,0.0,0.0
1054.0,32.0,1.0,0.0
451.0,64.0,1.0,0.0
639.0,64.0,1.0,0.0
296.0,512.0,1.0,0.0
587.0,128.0,1.0,0.0
565.0,128.0,1.0,0.0
1022.0,0.0,0.0,0.0
594.0,64.0,1.0,0.0
472.0,256.0,1.0,0.0
920.0,0.0,0.0,0.0
920.0,64.0,0.0,0.0
650.0,256.0,1.0,0.0
1119.0,32.0,1.0,0.0
456.0,512.0,1.0,0.0
731.0,32.0,1.0,0.0
299.0,512.0,1.0,0.0
1096.0,64.0,1.0,0.0
742.0,0.0,1.0,0.0
683.0,32.0,1.0,0.0
659.0,256.0,1.0,0.0
371.0,512.0,1.0,0.0
289.0,512.0,1.0,0.0
680.0,256.0,1.0,0.0
586.0,128.0,1.0,0.0
1094.0,32.0,1.0,0.0
556.0,128.0,1.0,0.0
670.0,0.0,1.0,0.0
819.0,64.0,1.0,0.0
943.0,64.0,0.0,0.0
657.0,0.0,1.0,0.0
523.0,128.0,1.0,0.0
312.0,512.0,1.0,0.0
750.0,64.0,1.0,0.0
839.0,32.0,1.0,0.0
395.0,32.0,1.0,0.0
410.0,512.0,1.0,0.0
323.0,256.0,1.0,0.0
704.0,256.0,1.0,0.0
517.0,128.0,1.0,0.0
825.0,0.0,0.0,0.0
339.0,512.0,1.0,0.0
772.0,0.0,0.0,0.0
1017.0,64.0,1.0,0.0
832.0,32.0,1.0,0.0
548.0,128.0,1.0,0.0
644.0,256.0,1.0,0.0
399.0,256.0,1.0,0.0
838.0,0.0,1.0,0.0
652.0,128.0,1.0,0.0
936.0,64.0,1.0,0.0
354.0,512.0,1.0,0.0
938.0,32.0,0.0,0.0
1099.0,32.0,0.0,0.0
619.0,64.0,1.0,0.0
1036.0,0.0,0.0,0.0
772.0,128.0,1.0,0.0
324.0,512.0,1.0,0.0
646.0,0.0,0.0,0.0
826.0,128.0,1.0,0.0
300.0,512.0,1.0,0.0
966.0,64.0,1.0,0.0
478.0,256.0,1.0,0.0
803.0,32.0,0.0,0.0
706.0,256.0,1.0,0.0
499.0,128.0,1.0,0.0
508.0,512.0,1.0,0.0
670.0,32.0,1.0,0.0
290.0,512.0,1.0,0.0
299.0,256.0,1.0,0.0
1031.0,0.0,1.0,0.0
592.0,64.0,1.0,0.0
878.0,32.0,1.0,0.0
657.0,128.0,1.0,0.0
665.0,64.0,0.0,0.0
897.0,0.0,0.0,0.0
578.0,256.0,1.0,0.0
773.0,64.0,1.0,0.0
432.0,256.0,1.0,0.0
640.0,128.0,1.0,0.0
312.0,512.0,1.0,0.0
848.0,0.0,1.0,0.0
436.0,512.0,1.0,0.0
541.0,256.0,1.0,0.0
519.0,64.0,1.0,0.0
1016.0,32.0,1.0,0.0
678.0,32.0,0.0,0.0
941.0,128.0,1.0,0.0
1011.0,0.0,0.0,0.0
342.0,512.0,1.0,0.0
988.0,0.0,1.0,0.0
799.0,128.0,1.0,0.0
571.0,32.0,1.0,0.0
752.0,64.0,1.0,0.0
583.0,128.0,1.0,0.0
317.0,256.0,1.0,0.0
1117.0,0.0,1.0,0.0
776.0,64.0,1.0,0.0
439.0,256.0,1.0,0.0
343.0,512.0,1.0,0.0
930.0,32.0,1.0,0.0
1163.0,64.0,1.0,0.0
686.0,32.0,0.0,0.0
852.0,0.0,0.0,0.0
680.0,128.0,1.0,0.0
459.0,512.0,1.0,0.0
525.0,128.0,1.0,0.0
478.0,64.0,1.0,0.0
417.0,512.0,1.0,0.0
786.0,32.0,1.0,0.0
608.0,256.0,1.0,0.0
993.0,0.0,0.0,0.0
534.0,256.0,1.0,0.0
629.0,128.0,1.0,0.0
890.0,0.0,1.0,0.0
681.0,256.0,1.0,0.0
313.0,512.0,1.0,0.0
492.0,32.0,1.0,0.0
1037.0,0.0,1.0,0.0
260.0,256.0,1.0,0.0
1083.0,32.0,0.0,0.0
936.0,64.0,1.0,0.0
387.0,512.0,1.0,0.0
707.0,64.0,1.0,0.0
305.0,128.0,1.0,0.0
566.0,256.0,1.0,0.0
823.0,0.0,1.0,0.0
353.0,512.0,1.0,0.0
894.0,64.0,1.0,0.0
303.0,512.0,1.0,0.0
630.0,64.0,1.0,0.0
856.0,32.0,1.0,0.0
837.0,128.0,1.0,0.0
1054.0,0.0,1.0,0.0
527.0,256.0,1.0,0.0
1296.0,32.0,1.0,0.0
537.0,128.0,1.0,0.0
1008.0,0.0,0.0,0.0
837.0,128.0,1.0,0.0
981.0,32.0,1.0,0.0
877.0,32.0,1.0,0.0
1073.0,0.0,0.0,0.0
491.0,128.0,1.0,0.0
280.0,512.0,1.0,0.0
626.0,256.0,1.0,0.0
755.0,256.0,1.0,0.0
555.0,64.0,1.0,0.0
293.0,512.0,1.0,0.0
704.0,64.0,1.0,0.0
1060.0,32.0,0.0,0.0
351.0,512.0,1.0,0.0
280.0,512.0,1.0,0.0
697.0,64.0,1.0,0.0
857.0,0.0,0.0,0.0
732.0,64.0,1.0,0.0
909.0,32.0,1.0,0.0
611.0,128.0,1.0,0.0
525.0,256.0,1.0,0.0
903.0,0.0,0.0,0.0
903.0,128.0,1.0,0.0
549.0,256.0,1.0,0.0
414.0,512.0,1.0,0.0
818.0,0.0,0.0,0.0
323.0,512.0,1.0,0.0
437.0,256.0,1.0,0.0
737.0,32.0,1.0,0.0
955.0,0.0,0.0,0.0
920.0,64.0,1.0,0.0
610.0,64.0,1.0,0.0
882.0,32.0,1.0,0.0
573.0,256.0,1.0,0.0
825.0,128.0,1.0,0.0
628.0,128.0,1.0,0.0
321.0,512.0,1.0,0.0
1019.0,0.0,1.0,0.0
569.0,128.0,1.0,0.0
262.0,256.0,1.0,0.0
736.0,64.0,1.0,0.0
702.0,128.0,1.0,0.0
579.0,0.0,0.0,0.0
1098.0,32.0,1.0,0.0
334.0,512.0,1.0,0.0
652.0,32.0,1.0,0.0
779.0,64.0,1.0,0.0
535.0,256.0,1.0,0.0
448.0,512.0,1.0,0.0
348.0,512.0,1.0,0.0
519.0,256.0,1.0,0.0
827.0,0.0,0.0,0.0
742.0,64.0,1.0,0.0
691.0,128.0,1.0,0.0
714.0,256.0,1.0,0.0
604.0,64.0,1.0,0.0
658.0,128.0,1.0,0.0
941.0,32.0,1.0,0.0
782.0,0.0,0.0,0.0
924.0,32.0,1.0,0.0
654.0,256.0,1.0,0.0
400.0,512.0,1.0,0.0
660.0,128.0,1.0,0.0
890.0,0.0,1.0,0.0
350.0,512.0,1.0,0.0
707.0,32.0,1.0,0.0
927.0,32.0,1.0,0.0
536.0,256.0,1.0,0.0
871.0,0.0,1.0,0.0
839.0,128.0,1.0,0.0
815.0,64.0,0.0,0.0
1282.0,64.0,1.0,0.0
1134.0,64.0,1.0,0.0
533.0,256.0,1.0,0.0
954.0,128.0,1.0,0.0
1070.0,32.0,1.0,0.0
880.0,32.0,0.0,0.0
601.0,256.0,1.0,0.0
925.0,128.0,1.0,0.0
841.0,64.0,0.0,0.0
420.0,512.0,1.0,0.0
1040.0,0.0,1.0,0.0
881.0,0.0,1.0,0.0
326.0,512.0,1.0,0.0
763.0,32.0,1.0,0.0
350.0,512.0,1.0,0.0
902.0,128.0,1.0,0.0
518.0,256.0,1.0,0.0
585.0,64.0,1.0,0.0
904.0,128.0,1.0,0.0
478.0,512.0,1.0,0.0
830.0,64.0,1.0,0.0
888.0,32.0,1.0,0.0
882.0,0.0,1.0,0.0
780.0,0.0,0.0,0.0
524.0,256.0,1.0,0.0
